configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
output_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,9,6,107,6
output_60,109_pdfsam,org.pdfsam.guiclient.business.thumbnails.callables.JPodThmbnailCallable,10,6,107,6
output_60,11_imsmart,com.imsmart.servlet.HTMLFilter,1,35,36,97
output_60,11_imsmart,com.imsmart.servlet.HTMLFilter,2,35,36,97
output_60,11_imsmart,com.imsmart.servlet.HTMLFilter,3,35,36,97
output_60,11_imsmart,com.imsmart.servlet.HTMLFilter,4,35,36,97
output_60,11_imsmart,com.imsmart.servlet.HTMLFilter,5,35,36,97
output_60,11_imsmart,com.imsmart.servlet.HTMLFilter,6,35,36,97
output_60,11_imsmart,com.imsmart.servlet.HTMLFilter,7,35,36,97
output_60,11_imsmart,com.imsmart.servlet.HTMLFilter,8,35,36,97
output_60,11_imsmart,com.imsmart.servlet.HTMLFilter,9,35,36,97
output_60,11_imsmart,com.imsmart.servlet.HTMLFilter,10,35,36,97
output_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,1,232,355,65
output_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,2,240,355,68
output_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,3,232,355,65
output_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,4,242,355,68
output_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,5,246,355,69
output_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,6,242,355,68
output_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,7,245,355,69
output_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,8,238,355,67
output_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,9,254,355,72
output_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,10,242,355,68
output_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,1,356,682,52
output_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,2,361,682,53
