configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
default_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,1,248,355,70
default_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,2,230,355,65
default_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,3,290,355,82
default_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,4,244,355,69
default_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,5,297,355,84
default_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,6,266,355,75
default_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,7,240,355,68
default_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,8,278,355,78
default_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,9,305,355,86
default_60,110_firebird,org.firebirdsql.jdbc.FBProcedureCall,10,258,355,73
default_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,1,361,682,53
default_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,2,364,682,53
default_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,3,349,682,51
default_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,4,370,682,54
default_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,5,352,682,52
default_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,6,361,682,53
default_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,7,361,682,53
default_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,8,362,682,53
default_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,9,353,682,52
default_60,110_firebird,org.firebirdsql.encodings.EncodingFactory,10,361,682,53
default_60,12_dsachat,dsachat.server.Handler,1,146,492,30
default_60,12_dsachat,dsachat.server.Handler,2,146,492,30
default_60,12_dsachat,dsachat.server.Handler,3,146,492,30
default_60,12_dsachat,dsachat.server.Handler,4,146,492,30
default_60,12_dsachat,dsachat.server.Handler,5,146,492,30
default_60,12_dsachat,dsachat.server.Handler,6,146,492,30
default_60,12_dsachat,dsachat.server.Handler,7,146,492,30
default_60,12_dsachat,dsachat.server.Handler,8,146,492,30
default_60,12_dsachat,dsachat.server.Handler,9,133,492,27
default_60,12_dsachat,dsachat.server.Handler,10,146,492,30
default_60,12_dsachat,dsachat.client.gui.InternalChatFrame,1,15,421,4
default_60,12_dsachat,dsachat.client.gui.InternalChatFrame,2,15,421,4
default_60,12_dsachat,dsachat.client.gui.InternalChatFrame,3,15,421,4
default_60,12_dsachat,dsachat.client.gui.InternalChatFrame,4,15,421,4
default_60,12_dsachat,dsachat.client.gui.InternalChatFrame,5,15,421,4
default_60,12_dsachat,dsachat.client.gui.InternalChatFrame,6,15,421,4
default_60,12_dsachat,dsachat.client.gui.InternalChatFrame,7,15,421,4
default_60,12_dsachat,dsachat.client.gui.InternalChatFrame,8,15,421,4
default_60,12_dsachat,dsachat.client.gui.InternalChatFrame,9,15,421,4
default_60,12_dsachat,dsachat.client.gui.InternalChatFrame,10,15,421,4
default_60,13_jdbacl,org.databene.jdbacl.SQLUtil,1,748,976,77
default_60,13_jdbacl,org.databene.jdbacl.SQLUtil,2,687,976,70
default_60,13_jdbacl,org.databene.jdbacl.SQLUtil,3,576,976,59
default_60,13_jdbacl,org.databene.jdbacl.SQLUtil,4,706,976,72
default_60,13_jdbacl,org.databene.jdbacl.SQLUtil,5,557,976,57
default_60,13_jdbacl,org.databene.jdbacl.SQLUtil,6,755,976,77
default_60,13_jdbacl,org.databene.jdbacl.SQLUtil,7,651,976,67
default_60,13_jdbacl,org.databene.jdbacl.SQLUtil,8,718,976,74
