configuration,project,class,round,killed_mutants,total_mutants,mutation_score_percent
branch_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,2,33,62,53
branch_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,3,36,62,58
branch_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,4,34,62,55
branch_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,5,32,62,52
branch_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,6,34,62,55
branch_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,7,36,62,58
branch_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,8,33,62,53
branch_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,9,36,62,58
branch_60,14_omjstate,uk.me.jockmacmad.jstate.state.Transition,10,37,62,60
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,1,161,205,79
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,2,157,205,77
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,3,161,205,79
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,4,130,205,63
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,5,165,205,80
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,6,164,205,80
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,7,131,205,64
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,8,130,205,63
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,9,161,205,79
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.MethodReflectionCriteria,10,150,205,73
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,1,60,126,48
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,2,60,126,48
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,3,60,126,48
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,4,62,126,49
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,5,68,126,54
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,6,58,126,46
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,7,60,126,48
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,8,65,126,52
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,9,62,126,49
branch_60,15_beanbin,net.sourceforge.beanbin.reflect.ReflectionSearch,10,63,126,50
branch_60,17_inspirento,com.allenstudio.ir.util.XmlElement,1,242,372,65
